CNAME:,AT&T INC
Google Trends Search Term:,at&t
Google Trends Suggestion:,telecommunications company
Google Trends URL:,/m/08z129
Year,Month,SVI Data
2004,Jan,25
2004,Feb,25
2004,Mar,24
2004,Apr,24
2004,May,23
2004,Jun,26
2004,Jul,26
2004,Aug,26
2004,Sep,24
2004,Oct,23
2004,Nov,22
2004,Dec,22
2005,Jan,20
2005,Feb,18
2005,Mar,17
2005,Apr,15
2005,May,14
2005,Jun,14
2005,Jul,13
2005,Aug,13
2005,Sep,11
2005,Oct,11
2005,Nov,12
2005,Dec,11
2006,Jan,12
2006,Feb,12
2006,Mar,13
2006,Apr,13
2006,May,14
2006,Jun,16
2006,Jul,16
2006,Aug,17
2006,Sep,16
2006,Oct,17
2006,Nov,16
2006,Dec,16
2007,Jan,23
2007,Feb,19
2007,Mar,20
2007,Apr,20
2007,May,23
2007,Jun,38
2007,Jul,44
2007,Aug,49
2007,Sep,50
2007,Oct,49
2007,Nov,50
2007,Dec,57
2008,Jan,57
2008,Feb,58
2008,Mar,59
2008,Apr,60
2008,May,66
2008,Jun,76
2008,Jul,87
2008,Aug,82
2008,Sep,71
2008,Oct,70
2008,Nov,75
2008,Dec,79
2009,Jan,76
2009,Feb,76
2009,Mar,72
2009,Apr,71
2009,May,73
2009,Jun,87
2009,Jul,82
2009,Aug,82
2009,Sep,76
2009,Oct,72
2009,Nov,72
2009,Dec,70
2010,Jan,68
2010,Feb,61
2010,Mar,61
2010,Apr,63
2010,May,64
2010,Jun,85
2010,Jul,83
2010,Aug,79
2010,Sep,72
2010,Oct,69
2010,Nov,70
2010,Dec,73
2011,Jan,84
2011,Feb,84
2011,Mar,95
2011,Apr,85
2011,May,85
2011,Jun,90
2011,Jul,90
2011,Aug,91
2011,Sep,87
2011,Oct,100
2011,Nov,88
2011,Dec,87
2012,Jan,81
2012,Feb,77
2012,Mar,77
2012,Apr,76
2012,May,79
2012,Jun,81
2012,Jul,84
2012,Aug,80
2012,Sep,100
2012,Oct,86
2012,Nov,84
2012,Dec,81
2013,Jan,75
2013,Feb,73
2013,Mar,72
2013,Apr,73
2013,May,74
2013,Jun,75
2013,Jul,82
2013,Aug,84
2013,Sep,87
2013,Oct,76
2013,Nov,71
2013,Dec,79
2014,Jan,73
2014,Feb,74
2014,Mar,72
2014,Apr,70
2014,May,70
2014,Jun,72
2014,Jul,73
2014,Aug,70
2014,Sep,91
2014,Oct,73
2014,Nov,72
2014,Dec,71
2015,Jan,63
2015,Feb,56
2015,Mar,52
2015,Apr,53
2015,May,53
2015,Jun,59
2015,Jul,61
2015,Aug,63
2015,Sep,63
2015,Oct,59
2015,Nov,55
2015,Dec,53
2016,Jan,50
2016,Feb,49
2016,Mar,49
2016,Apr,49
2016,May,48
2016,Jun,49
2016,Jul,52
2016,Aug,52
2016,Sep,57
2016,Oct,51
2016,Nov,46
2016,Dec,47
2017,Jan,44
2017,Feb,42
2017,Mar,42
2017,Apr,40
2017,May,42
2017,Jun,44
2017,Jul,44
2017,Aug,44
2017,Sep,43
2017,Oct,42
2017,Nov,44
2017,Dec,42
2018,Jan,39
2018,Feb,38
2018,Mar,38
2018,Apr,36
2018,May,36
2018,Jun,43
2018,Jul,41
2018,Aug,41
2018,Sep,41
2018,Oct,41
2018,Nov,39
2018,Dec,40
2019,Jan,39
2019,Feb,37
2019,Mar,38
2019,Apr,36
2019,May,37
2019,Jun,39
2019,Jul,40
2019,Aug,39
2019,Sep,39
2019,Oct,36
2019,Nov,35
2019,Dec,36
2020,Jan,31
2020,Feb,31
2020,Mar,33
2020,Apr,32
2020,May,35
2020,Jun,35
2020,Jul,36
2020,Aug,38
2020,Sep,35
2020,Oct,35
2020,Nov,38
2020,Dec,42
2021,Jan,34
2021,Feb,31
2021,Mar,32
2021,Apr,30
2021,May,31
2021,Jun,32
2021,Jul,31
2021,Aug,33
2021,Sep,35
2021,Oct,34
2021,Nov,33
2021,Dec,34
2022,Jan,32
2022,Feb,31
2022,Mar,32
