CNAME:,CEDAR FAIR LP
Google Trends Search Term:,cedar fair entertainment company
Google Trends Suggestion:,amusement park company
Google Trends URL:,/m/02kw7y
Year,Month,SVI Data
2004,Jan,8
2004,Feb,23
2004,Mar,100
2004,Apr,46
2004,May,21
2004,Jun,14
2004,Jul,22
2004,Aug,23
2004,Sep,19
2004,Oct,13
2004,Nov,20
2004,Dec,6
2005,Jan,18
2005,Feb,19
2005,Mar,32
2005,Apr,11
2005,May,40
2005,Jun,22
2005,Jul,26
2005,Aug,32
2005,Sep,21
2005,Oct,43
2005,Nov,34
2005,Dec,11
2006,Jan,15
2006,Feb,26
2006,Mar,31
2006,Apr,23
2006,May,65
2006,Jun,52
2006,Jul,49
2006,Aug,44
2006,Sep,25
2006,Oct,30
2006,Nov,16
2006,Dec,27
2007,Jan,20
2007,Feb,31
2007,Mar,36
2007,Apr,35
2007,May,56
2007,Jun,49
2007,Jul,63
2007,Aug,29
2007,Sep,40
2007,Oct,29
2007,Nov,28
2007,Dec,16
2008,Jan,29
2008,Feb,37
2008,Mar,43
2008,Apr,52
2008,May,61
2008,Jun,43
2008,Jul,56
2008,Aug,34
2008,Sep,17
2008,Oct,24
2008,Nov,24
2008,Dec,19
2009,Jan,26
2009,Feb,34
2009,Mar,47
2009,Apr,29
2009,May,44
2009,Jun,42
2009,Jul,26
2009,Aug,33
2009,Sep,20
2009,Oct,22
2009,Nov,22
2009,Dec,57
2010,Jan,35
2010,Feb,35
2010,Mar,41
2010,Apr,39
2010,May,30
2010,Jun,49
2010,Jul,39
2010,Aug,42
2010,Sep,20
2010,Oct,24
2010,Nov,13
2010,Dec,16
2011,Jan,26
2011,Feb,27
2011,Mar,36
2011,Apr,36
2011,May,38
2011,Jun,37
2011,Jul,39
2011,Aug,37
2011,Sep,27
2011,Oct,16
2011,Nov,24
2011,Dec,17
2012,Jan,24
2012,Feb,25
2012,Mar,32
2012,Apr,32
2012,May,42
2012,Jun,46
2012,Jul,36
2012,Aug,32
2012,Sep,26
2012,Oct,24
2012,Nov,19
2012,Dec,19
2013,Jan,25
2013,Feb,32
2013,Mar,32
2013,Apr,33
2013,May,57
2013,Jun,48
2013,Jul,45
2013,Aug,41
2013,Sep,23
2013,Oct,21
2013,Nov,14
2013,Dec,14
2014,Jan,20
2014,Feb,22
2014,Mar,27
2014,Apr,31
2014,May,37
2014,Jun,48
2014,Jul,43
2014,Aug,37
2014,Sep,30
2014,Oct,27
2014,Nov,23
2014,Dec,20
2015,Jan,31
2015,Feb,32
2015,Mar,46
2015,Apr,35
2015,May,54
2015,Jun,57
2015,Jul,52
2015,Aug,47
2015,Sep,32
2015,Oct,25
2015,Nov,21
2015,Dec,23
2016,Jan,29
2016,Feb,33
2016,Mar,37
2016,Apr,39
2016,May,55
2016,Jun,57
2016,Jul,55
2016,Aug,45
2016,Sep,33
2016,Oct,25
2016,Nov,20
2016,Dec,20
2017,Jan,29
2017,Feb,29
2017,Mar,32
2017,Apr,42
2017,May,48
2017,Jun,59
2017,Jul,54
2017,Aug,47
2017,Sep,30
2017,Oct,27
2017,Nov,25
2017,Dec,23
2018,Jan,25
2018,Feb,32
2018,Mar,40
2018,Apr,40
2018,May,47
2018,Jun,51
2018,Jul,47
2018,Aug,54
2018,Sep,33
2018,Oct,35
2018,Nov,27
2018,Dec,21
2019,Jan,26
2019,Feb,32
2019,Mar,36
2019,Apr,43
2019,May,41
2019,Jun,63
2019,Jul,56
2019,Aug,55
2019,Sep,38
2019,Oct,79
2019,Nov,29
2019,Dec,27
2020,Jan,35
2020,Feb,38
2020,Mar,84
2020,Apr,70
2020,May,61
2020,Jun,60
2020,Jul,50
2020,Aug,30
2020,Sep,23
2020,Oct,25
2020,Nov,23
2020,Dec,23
2021,Jan,24
2021,Feb,30
2021,Mar,37
2021,Apr,39
2021,May,48
2021,Jun,69
2021,Jul,59
2021,Aug,58
2021,Sep,36
2021,Oct,40
2021,Nov,31
2021,Dec,29
2022,Jan,30
2022,Feb,90
2022,Mar,40
