CNAME:,JOANN INC
Google Trends Search Term:,jo-ann stores
Google Trends Suggestion:,specialty retail company
Google Trends URL:,/m/0fkt6q
Year,Month,SVI Data
2004,Jan,20
2004,Feb,17
2004,Mar,19
2004,Apr,18
2004,May,16
2004,Jun,17
2004,Jul,18
2004,Aug,18
2004,Sep,19
2004,Oct,22
2004,Nov,23
2004,Dec,25
2005,Jan,22
2005,Feb,20
2005,Mar,19
2005,Apr,19
2005,May,19
2005,Jun,20
2005,Jul,20
2005,Aug,23
2005,Sep,23
2005,Oct,28
2005,Nov,29
2005,Dec,27
2006,Jan,23
2006,Feb,22
2006,Mar,22
2006,Apr,21
2006,May,21
2006,Jun,21
2006,Jul,23
2006,Aug,25
2006,Sep,26
2006,Oct,28
2006,Nov,29
2006,Dec,30
2007,Jan,24
2007,Feb,24
2007,Mar,24
2007,Apr,22
2007,May,23
2007,Jun,24
2007,Jul,25
2007,Aug,25
2007,Sep,25
2007,Oct,27
2007,Nov,30
2007,Dec,29
2008,Jan,24
2008,Feb,23
2008,Mar,23
2008,Apr,22
2008,May,22
2008,Jun,23
2008,Jul,24
2008,Aug,24
2008,Sep,25
2008,Oct,35
2008,Nov,37
2008,Dec,38
2009,Jan,30
2009,Feb,26
2009,Mar,27
2009,Apr,25
2009,May,23
2009,Jun,23
2009,Jul,23
2009,Aug,25
2009,Sep,26
2009,Oct,33
2009,Nov,36
2009,Dec,34
2010,Jan,28
2010,Feb,23
2010,Mar,24
2010,Apr,23
2010,May,23
2010,Jun,26
2010,Jul,28
2010,Aug,29
2010,Sep,30
2010,Oct,36
2010,Nov,37
2010,Dec,36
2011,Jan,35
2011,Feb,34
2011,Mar,33
2011,Apr,33
2011,May,34
2011,Jun,35
2011,Jul,38
2011,Aug,38
2011,Sep,41
2011,Oct,48
2011,Nov,53
2011,Dec,50
2012,Jan,43
2012,Feb,39
2012,Mar,38
2012,Apr,37
2012,May,36
2012,Jun,37
2012,Jul,39
2012,Aug,40
2012,Sep,40
2012,Oct,46
2012,Nov,53
2012,Dec,48
2013,Jan,38
2013,Feb,38
2013,Mar,39
2013,Apr,35
2013,May,34
2013,Jun,35
2013,Jul,39
2013,Aug,41
2013,Sep,41
2013,Oct,48
2013,Nov,52
2013,Dec,51
2014,Jan,40
2014,Feb,40
2014,Mar,39
2014,Apr,37
2014,May,38
2014,Jun,37
2014,Jul,42
2014,Aug,44
2014,Sep,44
2014,Oct,49
2014,Nov,56
2014,Dec,57
2015,Jan,43
2015,Feb,41
2015,Mar,42
2015,Apr,39
2015,May,42
2015,Jun,41
2015,Jul,43
2015,Aug,44
2015,Sep,46
2015,Oct,52
2015,Nov,55
2015,Dec,56
2016,Jan,46
2016,Feb,45
2016,Mar,44
2016,Apr,43
2016,May,47
2016,Jun,42
2016,Jul,47
2016,Aug,45
2016,Sep,49
2016,Oct,58
2016,Nov,57
2016,Dec,61
2017,Jan,43
2017,Feb,42
2017,Mar,43
2017,Apr,42
2017,May,44
2017,Jun,42
2017,Jul,44
2017,Aug,43
2017,Sep,44
2017,Oct,53
2017,Nov,54
2017,Dec,52
2018,Jan,39
2018,Feb,37
2018,Mar,38
2018,Apr,38
2018,May,36
2018,Jun,37
2018,Jul,41
2018,Aug,40
2018,Sep,41
2018,Oct,47
2018,Nov,53
2018,Dec,55
2019,Jan,37
2019,Feb,34
2019,Mar,35
2019,Apr,33
2019,May,34
2019,Jun,33
2019,Jul,34
2019,Aug,35
2019,Sep,36
2019,Oct,40
2019,Nov,44
2019,Dec,47
2020,Jan,32
2020,Feb,31
2020,Mar,45
2020,Apr,100
2020,May,74
2020,Jun,54
2020,Jul,53
2020,Aug,46
2020,Sep,43
2020,Oct,47
2020,Nov,54
2020,Dec,54
2021,Jan,41
2021,Feb,37
2021,Mar,34
2021,Apr,30
2021,May,32
2021,Jun,30
2021,Jul,31
2021,Aug,32
2021,Sep,35
2021,Oct,38
2021,Nov,42
2021,Dec,42
2022,Jan,32
2022,Feb,30
2022,Mar,29
