CNAME:,CELGENE CORP
Google Trends Search Term:,celgene
Google Trends Suggestion:,pharmaceutical company
Google Trends URL:,/m/0898kv
Year,Month,SVI Data
2004,Jan,29
2004,Feb,10
2004,Mar,11
2004,Apr,18
2004,May,13
2004,Jun,15
2004,Jul,9
2004,Aug,9
2004,Sep,15
2004,Oct,8
2004,Nov,16
2004,Dec,14
2005,Jan,13
2005,Feb,11
2005,Mar,24
2005,Apr,15
2005,May,45
2005,Jun,16
2005,Jul,17
2005,Aug,16
2005,Sep,24
2005,Oct,19
2005,Nov,17
2005,Dec,20
2006,Jan,20
2006,Feb,27
2006,Mar,25
2006,Apr,18
2006,May,19
2006,Jun,22
2006,Jul,27
2006,Aug,19
2006,Sep,16
2006,Oct,20
2006,Nov,22
2006,Dec,14
2007,Jan,19
2007,Feb,17
2007,Mar,14
2007,Apr,22
2007,May,17
2007,Jun,18
2007,Jul,17
2007,Aug,16
2007,Sep,17
2007,Oct,17
2007,Nov,26
2007,Dec,22
2008,Jan,21
2008,Feb,13
2008,Mar,14
2008,Apr,16
2008,May,19
2008,Jun,17
2008,Jul,18
2008,Aug,17
2008,Sep,19
2008,Oct,18
2008,Nov,16
2008,Dec,14
2009,Jan,19
2009,Feb,20
2009,Mar,21
2009,Apr,21
2009,May,16
2009,Jun,14
2009,Jul,16
2009,Aug,13
2009,Sep,14
2009,Oct,16
2009,Nov,14
2009,Dec,12
2010,Jan,14
2010,Feb,16
2010,Mar,13
2010,Apr,16
2010,May,14
2010,Jun,17
2010,Jul,20
2010,Aug,18
2010,Sep,16
2010,Oct,20
2010,Nov,15
2010,Dec,16
2011,Jan,23
2011,Feb,21
2011,Mar,18
2011,Apr,17
2011,May,14
2011,Jun,17
2011,Jul,17
2011,Aug,18
2011,Sep,15
2011,Oct,16
2011,Nov,18
2011,Dec,13
2012,Jan,18
2012,Feb,19
2012,Mar,17
2012,Apr,19
2012,May,18
2012,Jun,19
2012,Jul,15
2012,Aug,17
2012,Sep,15
2012,Oct,22
2012,Nov,22
2012,Dec,15
2013,Jan,26
2013,Feb,28
2013,Mar,25
2013,Apr,25
2013,May,23
2013,Jun,22
2013,Jul,28
2013,Aug,26
2013,Sep,26
2013,Oct,30
2013,Nov,27
2013,Dec,24
2014,Jan,32
2014,Feb,29
2014,Mar,30
2014,Apr,33
2014,May,26
2014,Jun,31
2014,Jul,31
2014,Aug,26
2014,Sep,26
2014,Oct,29
2014,Nov,25
2014,Dec,30
2015,Jan,30
2015,Feb,30
2015,Mar,30
2015,Apr,33
2015,May,31
2015,Jun,31
2015,Jul,46
2015,Aug,34
2015,Sep,32
2015,Oct,32
2015,Nov,29
2015,Dec,28
2016,Jan,33
2016,Feb,29
2016,Mar,27
2016,Apr,29
2016,May,28
2016,Jun,28
2016,Jul,31
2016,Aug,31
2016,Sep,28
2016,Oct,27
2016,Nov,28
2016,Dec,24
2017,Jan,31
2017,Feb,32
2017,Mar,33
2017,Apr,28
2017,May,28
2017,Jun,34
2017,Jul,33
2017,Aug,30
2017,Sep,32
2017,Oct,60
2017,Nov,42
2017,Dec,35
2018,Jan,57
2018,Feb,48
2018,Mar,43
2018,Apr,43
2018,May,48
2018,Jun,40
2018,Jul,40
2018,Aug,39
2018,Sep,31
2018,Oct,39
2018,Nov,33
2018,Dec,32
2019,Jan,100
2019,Feb,43
2019,Mar,46
2019,Apr,44
2019,May,29
2019,Jun,33
2019,Jul,26
2019,Aug,32
2019,Sep,28
2019,Oct,29
2019,Nov,38
2019,Dec,22
2020,Jan,21
2020,Feb,20
2020,Mar,16
2020,Apr,13
2020,May,11
2020,Jun,13
2020,Jul,11
2020,Aug,10
2020,Sep,9
2020,Oct,13
2020,Nov,8
2020,Dec,10
2021,Jan,8
2021,Feb,9
2021,Mar,8
2021,Apr,7
2021,May,8
2021,Jun,7
2021,Jul,8
2021,Aug,6
2021,Sep,7
2021,Oct,7
2021,Nov,7
2021,Dec,7
2022,Jan,7
2022,Feb,6
2022,Mar,6
