CNAME:,CATERPILLAR INC
Google Trends Search Term:,caterpillar inc
Google Trends Suggestion:,construction machinery and equipment company
Google Trends URL:,/m/0319hp
Year,Month,SVI Data
2004,Jan,62
2004,Feb,56
2004,Mar,63
2004,Apr,67
2004,May,70
2004,Jun,74
2004,Jul,67
2004,Aug,74
2004,Sep,65
2004,Oct,69
2004,Nov,58
2004,Dec,57
2005,Jan,62
2005,Feb,65
2005,Mar,66
2005,Apr,72
2005,May,67
2005,Jun,65
2005,Jul,72
2005,Aug,69
2005,Sep,71
2005,Oct,66
2005,Nov,65
2005,Dec,60
2006,Jan,65
2006,Feb,64
2006,Mar,63
2006,Apr,65
2006,May,69
2006,Jun,61
2006,Jul,61
2006,Aug,63
2006,Sep,67
2006,Oct,74
2006,Nov,62
2006,Dec,57
2007,Jan,64
2007,Feb,68
2007,Mar,65
2007,Apr,71
2007,May,65
2007,Jun,64
2007,Jul,63
2007,Aug,65
2007,Sep,71
2007,Oct,71
2007,Nov,60
2007,Dec,60
2008,Jan,62
2008,Feb,67
2008,Mar,66
2008,Apr,70
2008,May,63
2008,Jun,65
2008,Jul,65
2008,Aug,66
2008,Sep,70
2008,Oct,75
2008,Nov,63
2008,Dec,67
2009,Jan,73
2009,Feb,73
2009,Mar,69
2009,Apr,69
2009,May,63
2009,Jun,62
2009,Jul,64
2009,Aug,65
2009,Sep,66
2009,Oct,69
2009,Nov,61
2009,Dec,59
2010,Jan,62
2010,Feb,65
2010,Mar,71
2010,Apr,69
2010,May,66
2010,Jun,62
2010,Jul,60
2010,Aug,62
2010,Sep,65
2010,Oct,65
2010,Nov,63
2010,Dec,58
2011,Jan,60
2011,Feb,63
2011,Mar,69
2011,Apr,70
2011,May,65
2011,Jun,67
2011,Jul,66
2011,Aug,72
2011,Sep,69
2011,Oct,70
2011,Nov,69
2011,Dec,63
2012,Jan,68
2012,Feb,70
2012,Mar,68
2012,Apr,70
2012,May,68
2012,Jun,66
2012,Jul,64
2012,Aug,66
2012,Sep,63
2012,Oct,64
2012,Nov,60
2012,Dec,54
2013,Jan,61
2013,Feb,60
2013,Mar,58
2013,Apr,63
2013,May,61
2013,Jun,55
2013,Jul,59
2013,Aug,59
2013,Sep,60
2013,Oct,61
2013,Nov,56
2013,Dec,52
2014,Jan,57
2014,Feb,56
2014,Mar,57
2014,Apr,64
2014,May,60
2014,Jun,59
2014,Jul,59
2014,Aug,58
2014,Sep,60
2014,Oct,61
2014,Nov,56
2014,Dec,56
2015,Jan,58
2015,Feb,60
2015,Mar,60
2015,Apr,63
2015,May,59
2015,Jun,60
2015,Jul,60
2015,Aug,62
2015,Sep,70
2015,Oct,68
2015,Nov,60
2015,Dec,57
2016,Jan,68
2016,Feb,71
2016,Mar,69
2016,Apr,73
2016,May,75
2016,Jun,66
2016,Jul,61
2016,Aug,67
2016,Sep,67
2016,Oct,71
2016,Nov,69
2016,Dec,72
2017,Jan,72
2017,Feb,75
2017,Mar,100
2017,Apr,73
2017,May,72
2017,Jun,75
2017,Jul,71
2017,Aug,80
2017,Sep,79
2017,Oct,82
2017,Nov,78
2017,Dec,71
2018,Jan,81
2018,Feb,78
2018,Mar,80
2018,Apr,82
2018,May,79
2018,Jun,79
2018,Jul,81
2018,Aug,84
2018,Sep,80
2018,Oct,87
2018,Nov,77
2018,Dec,74
2019,Jan,78
2019,Feb,76
2019,Mar,79
2019,Apr,86
2019,May,81
2019,Jun,75
2019,Jul,78
2019,Aug,84
2019,Sep,83
2019,Oct,84
2019,Nov,77
2019,Dec,71
2020,Jan,73
2020,Feb,76
2020,Mar,77
2020,Apr,84
2020,May,77
2020,Jun,79
2020,Jul,77
2020,Aug,82
2020,Sep,79
2020,Oct,88
2020,Nov,74
2020,Dec,76
2021,Jan,77
2021,Feb,81
2021,Mar,83
2021,Apr,86
2021,May,79
2021,Jun,86
2021,Jul,84
2021,Aug,89
2021,Sep,86
2021,Oct,88
2021,Nov,87
2021,Dec,83
2022,Jan,81
2022,Feb,84
2022,Mar,92
