CNAME:,SUNTRUST BANKS INC
Google Trends Search Term:,suntrust banks
Google Trends Suggestion:,bank
Google Trends URL:,/m/04vrb2
Year,Month,SVI Data
2004,Jan,22
2004,Feb,17
2004,Mar,19
2004,Apr,19
2004,May,21
2004,Jun,25
2004,Jul,24
2004,Aug,27
2004,Sep,27
2004,Oct,29
2004,Nov,32
2004,Dec,29
2005,Jan,23
2005,Feb,23
2005,Mar,26
2005,Apr,29
2005,May,37
2005,Jun,38
2005,Jul,35
2005,Aug,35
2005,Sep,33
2005,Oct,33
2005,Nov,34
2005,Dec,35
2006,Jan,38
2006,Feb,35
2006,Mar,37
2006,Apr,38
2006,May,38
2006,Jun,40
2006,Jul,43
2006,Aug,42
2006,Sep,39
2006,Oct,38
2006,Nov,37
2006,Dec,38
2007,Jan,40
2007,Feb,40
2007,Mar,40
2007,Apr,39
2007,May,39
2007,Jun,42
2007,Jul,41
2007,Aug,43
2007,Sep,40
2007,Oct,38
2007,Nov,39
2007,Dec,39
2008,Jan,42
2008,Feb,43
2008,Mar,43
2008,Apr,46
2008,May,49
2008,Jun,48
2008,Jul,54
2008,Aug,53
2008,Sep,52
2008,Oct,56
2008,Nov,46
2008,Dec,55
2009,Jan,58
2009,Feb,58
2009,Mar,59
2009,Apr,58
2009,May,58
2009,Jun,63
2009,Jul,67
2009,Aug,69
2009,Sep,61
2009,Oct,63
2009,Nov,60
2009,Dec,67
2010,Jan,67
2010,Feb,65
2010,Mar,67
2010,Apr,65
2010,May,64
2010,Jun,65
2010,Jul,67
2010,Aug,69
2010,Sep,65
2010,Oct,68
2010,Nov,62
2010,Dec,67
2011,Jan,79
2011,Feb,87
2011,Mar,85
2011,Apr,82
2011,May,83
2011,Jun,95
2011,Jul,95
2011,Aug,100
2011,Sep,96
2011,Oct,91
2011,Nov,91
2011,Dec,90
2012,Jan,88
2012,Feb,90
2012,Mar,85
2012,Apr,79
2012,May,82
2012,Jun,83
2012,Jul,86
2012,Aug,86
2012,Sep,80
2012,Oct,83
2012,Nov,80
2012,Dec,82
2013,Jan,80
2013,Feb,81
2013,Mar,76
2013,Apr,79
2013,May,81
2013,Jun,79
2013,Jul,80
2013,Aug,86
2013,Sep,78
2013,Oct,73
2013,Nov,70
2013,Dec,74
2014,Jan,68
2014,Feb,71
2014,Mar,67
2014,Apr,66
2014,May,70
2014,Jun,67
2014,Jul,68
2014,Aug,67
2014,Sep,65
2014,Oct,63
2014,Nov,61
2014,Dec,63
2015,Jan,59
2015,Feb,61
2015,Mar,55
2015,Apr,60
2015,May,59
2015,Jun,62
2015,Jul,60
2015,Aug,58
2015,Sep,54
2015,Oct,55
2015,Nov,53
2015,Dec,57
2016,Jan,50
2016,Feb,51
2016,Mar,50
2016,Apr,51
2016,May,52
2016,Jun,54
2016,Jul,55
2016,Aug,52
2016,Sep,50
2016,Oct,48
2016,Nov,50
2016,Dec,50
2017,Jan,48
2017,Feb,48
2017,Mar,47
2017,Apr,49
2017,May,48
2017,Jun,51
2017,Jul,52
2017,Aug,52
2017,Sep,48
2017,Oct,46
2017,Nov,46
2017,Dec,46
2018,Jan,47
2018,Feb,48
2018,Mar,47
2018,Apr,45
2018,May,44
2018,Jun,50
2018,Jul,48
2018,Aug,47
2018,Sep,51
2018,Oct,45
2018,Nov,46
2018,Dec,45
2019,Jan,47
2019,Feb,52
2019,Mar,45
2019,Apr,46
2019,May,45
2019,Jun,47
2019,Jul,48
2019,Aug,45
2019,Sep,43
2019,Oct,39
2019,Nov,39
2019,Dec,43
2020,Jan,39
2020,Feb,38
2020,Mar,37
2020,Apr,46
2020,May,37
2020,Jun,39
2020,Jul,39
2020,Aug,34
2020,Sep,33
2020,Oct,33
2020,Nov,30
2020,Dec,34
2021,Jan,36
2021,Feb,34
2021,Mar,38
2021,Apr,34
2021,May,32
2021,Jun,33
2021,Jul,32
2021,Aug,31
2021,Sep,31
2021,Oct,30
2021,Nov,31
2021,Dec,31
2022,Jan,28
2022,Feb,33
2022,Mar,22
