CNAME:,REDFIN CORP
Google Trends Search Term:,redfin
Google Trends Suggestion:,company
Google Trends URL:,/m/0c2gbc
Year,Month,SVI Data
2004,Jan,0
2004,Feb,0
2004,Mar,0
2004,Apr,0
2004,May,0
2004,Jun,0
2004,Jul,0
2004,Aug,1
2004,Sep,1
2004,Oct,0
2004,Nov,0
2004,Dec,1
2005,Jan,1
2005,Feb,1
2005,Mar,1
2005,Apr,1
2005,May,1
2005,Jun,1
2005,Jul,1
2005,Aug,1
2005,Sep,1
2005,Oct,1
2005,Nov,1
2005,Dec,1
2006,Jan,1
2006,Feb,2
2006,Mar,2
2006,Apr,2
2006,May,3
2006,Jun,2
2006,Jul,2
2006,Aug,2
2006,Sep,4
2006,Oct,2
2006,Nov,2
2006,Dec,1
2007,Jan,2
2007,Feb,3
2007,Mar,3
2007,Apr,3
2007,May,22
2007,Jun,6
2007,Jul,6
2007,Aug,7
2007,Sep,5
2007,Oct,4
2007,Nov,5
2007,Dec,4
2008,Jan,6
2008,Feb,7
2008,Mar,8
2008,Apr,8
2008,May,11
2008,Jun,12
2008,Jul,12
2008,Aug,12
2008,Sep,11
2008,Oct,11
2008,Nov,11
2008,Dec,11
2009,Jan,16
2009,Feb,18
2009,Mar,22
2009,Apr,25
2009,May,27
2009,Jun,27
2009,Jul,27
2009,Aug,27
2009,Sep,26
2009,Oct,24
2009,Nov,22
2009,Dec,20
2010,Jan,25
2010,Feb,25
2010,Mar,28
2010,Apr,31
2010,May,29
2010,Jun,31
2010,Jul,28
2010,Aug,29
2010,Sep,28
2010,Oct,30
2010,Nov,27
2010,Dec,25
2011,Jan,31
2011,Feb,33
2011,Mar,36
2011,Apr,37
2011,May,36
2011,Jun,39
2011,Jul,40
2011,Aug,42
2011,Sep,34
2011,Oct,34
2011,Nov,30
2011,Dec,29
2012,Jan,43
2012,Feb,46
2012,Mar,50
2012,Apr,52
2012,May,52
2012,Jun,50
2012,Jul,47
2012,Aug,45
2012,Sep,42
2012,Oct,43
2012,Nov,35
2012,Dec,30
2013,Jan,43
2013,Feb,47
2013,Mar,50
2013,Apr,54
2013,May,53
2013,Jun,51
2013,Jul,48
2013,Aug,44
2013,Sep,39
2013,Oct,36
2013,Nov,34
2013,Dec,27
2014,Jan,38
2014,Feb,38
2014,Mar,44
2014,Apr,46
2014,May,47
2014,Jun,47
2014,Jul,45
2014,Aug,42
2014,Sep,40
2014,Oct,38
2014,Nov,31
2014,Dec,26
2015,Jan,38
2015,Feb,40
2015,Mar,46
2015,Apr,50
2015,May,48
2015,Jun,50
2015,Jul,49
2015,Aug,45
2015,Sep,38
2015,Oct,36
2015,Nov,28
2015,Dec,30
2016,Jan,37
2016,Feb,40
2016,Mar,44
2016,Apr,46
2016,May,48
2016,Jun,47
2016,Jul,46
2016,Aug,44
2016,Sep,41
2016,Oct,40
2016,Nov,35
2016,Dec,31
2017,Jan,42
2017,Feb,47
2017,Mar,53
2017,Apr,56
2017,May,58
2017,Jun,58
2017,Jul,61
2017,Aug,58
2017,Sep,50
2017,Oct,48
2017,Nov,43
2017,Dec,38
2018,Jan,50
2018,Feb,55
2018,Mar,59
2018,Apr,64
2018,May,63
2018,Jun,61
2018,Jul,61
2018,Aug,58
2018,Sep,51
2018,Oct,49
2018,Nov,43
2018,Dec,38
2019,Jan,51
2019,Feb,61
2019,Mar,68
2019,Apr,71
2019,May,75
2019,Jun,70
2019,Jul,67
2019,Aug,61
2019,Sep,58
2019,Oct,54
2019,Nov,48
2019,Dec,44
2020,Jan,56
2020,Feb,67
2020,Mar,56
2020,Apr,52
2020,May,67
2020,Jun,77
2020,Jul,83
2020,Aug,80
2020,Sep,74
2020,Oct,70
2020,Nov,58
2020,Dec,59
2021,Jan,70
2021,Feb,78
2021,Mar,80
2021,Apr,85
2021,May,88
2021,Jun,85
2021,Jul,82
2021,Aug,76
2021,Sep,74
2021,Oct,73
2021,Nov,69
2021,Dec,67
2022,Jan,81
2022,Feb,95
2022,Mar,100
