CNAME:,HARMAN INTERNATIONAL INDUSTRIE
Google Trends Search Term:,harman international
Google Trends Suggestion:,electronics company
Google Trends URL:,/m/09lhrg
Year,Month,SVI Data
2004,Jan,100
2004,Feb,78
2004,Mar,67
2004,Apr,67
2004,May,66
2004,Jun,71
2004,Jul,68
2004,Aug,85
2004,Sep,85
2004,Oct,79
2004,Nov,81
2004,Dec,87
2005,Jan,78
2005,Feb,63
2005,Mar,70
2005,Apr,56
2005,May,66
2005,Jun,71
2005,Jul,64
2005,Aug,59
2005,Sep,65
2005,Oct,65
2005,Nov,83
2005,Dec,89
2006,Jan,75
2006,Feb,58
2006,Mar,54
2006,Apr,54
2006,May,46
2006,Jun,53
2006,Jul,60
2006,Aug,55
2006,Sep,62
2006,Oct,56
2006,Nov,56
2006,Dec,69
2007,Jan,53
2007,Feb,49
2007,Mar,49
2007,Apr,51
2007,May,52
2007,Jun,50
2007,Jul,50
2007,Aug,47
2007,Sep,53
2007,Oct,49
2007,Nov,58
2007,Dec,73
2008,Jan,52
2008,Feb,46
2008,Mar,44
2008,Apr,43
2008,May,50
2008,Jun,51
2008,Jul,48
2008,Aug,44
2008,Sep,39
2008,Oct,43
2008,Nov,42
2008,Dec,49
2009,Jan,42
2009,Feb,38
2009,Mar,36
2009,Apr,38
2009,May,32
2009,Jun,32
2009,Jul,33
2009,Aug,30
2009,Sep,32
2009,Oct,30
2009,Nov,31
2009,Dec,33
2010,Jan,31
2010,Feb,29
2010,Mar,27
2010,Apr,23
2010,May,27
2010,Jun,26
2010,Jul,22
2010,Aug,26
2010,Sep,24
2010,Oct,26
2010,Nov,26
2010,Dec,29
2011,Jan,25
2011,Feb,24
2011,Mar,22
2011,Apr,22
2011,May,22
2011,Jun,23
2011,Jul,23
2011,Aug,21
2011,Sep,22
2011,Oct,21
2011,Nov,27
2011,Dec,28
2012,Jan,26
2012,Feb,26
2012,Mar,23
2012,Apr,24
2012,May,24
2012,Jun,28
2012,Jul,23
2012,Aug,23
2012,Sep,25
2012,Oct,21
2012,Nov,27
2012,Dec,30
2013,Jan,32
2013,Feb,22
2013,Mar,20
2013,Apr,20
2013,May,20
2013,Jun,20
2013,Jul,21
2013,Aug,20
2013,Sep,21
2013,Oct,21
2013,Nov,23
2013,Dec,28
2014,Jan,25
2014,Feb,21
2014,Mar,21
2014,Apr,21
2014,May,32
2014,Jun,28
2014,Jul,26
2014,Aug,25
2014,Sep,27
2014,Oct,28
2014,Nov,33
2014,Dec,38
2015,Jan,30
2015,Feb,25
2015,Mar,24
2015,Apr,23
2015,May,24
2015,Jun,25
2015,Jul,25
2015,Aug,25
2015,Sep,26
2015,Oct,26
2015,Nov,29
2015,Dec,34
2016,Jan,27
2016,Feb,25
2016,Mar,24
2016,Apr,24
2016,May,26
2016,Jun,26
2016,Jul,24
2016,Aug,23
2016,Sep,23
2016,Oct,23
2016,Nov,38
2016,Dec,34
2017,Jan,26
2017,Feb,24
2017,Mar,23
2017,Apr,23
2017,May,22
2017,Jun,26
2017,Jul,22
2017,Aug,22
2017,Sep,22
2017,Oct,22
2017,Nov,29
2017,Dec,28
2018,Jan,24
2018,Feb,23
2018,Mar,21
2018,Apr,22
2018,May,22
2018,Jun,24
2018,Jul,21
2018,Aug,22
2018,Sep,21
2018,Oct,21
2018,Nov,26
2018,Dec,25
2019,Jan,21
2019,Feb,19
2019,Mar,20
2019,Apr,18
2019,May,18
2019,Jun,18
2019,Jul,20
2019,Aug,18
2019,Sep,18
2019,Oct,17
2019,Nov,22
2019,Dec,24
2020,Jan,20
2020,Feb,18
2020,Mar,15
2020,Apr,17
2020,May,19
2020,Jun,20
2020,Jul,19
2020,Aug,17
2020,Sep,17
2020,Oct,17
2020,Nov,19
2020,Dec,19
2021,Jan,18
2021,Feb,16
2021,Mar,16
2021,Apr,16
2021,May,15
2021,Jun,16
2021,Jul,15
2021,Aug,14
2021,Sep,15
2021,Oct,15
2021,Nov,18
2021,Dec,19
2022,Jan,17
2022,Feb,15
2022,Mar,15
