CNAME:,FEDERATED INVESTORS INC
Google Trends Search Term:,federated hermes
Google Trends Suggestion:,investment banking company
Google Trends URL:,/m/03p23pj
Year,Month,SVI Data
2004,Jan,65
2004,Feb,47
2004,Mar,82
2004,Apr,45
2004,May,83
2004,Jun,90
2004,Jul,71
2004,Aug,49
2004,Sep,51
2004,Oct,72
2004,Nov,79
2004,Dec,57
2005,Jan,100
2005,Feb,57
2005,Mar,58
2005,Apr,55
2005,May,46
2005,Jun,94
2005,Jul,71
2005,Aug,67
2005,Sep,78
2005,Oct,87
2005,Nov,48
2005,Dec,45
2006,Jan,63
2006,Feb,55
2006,Mar,56
2006,Apr,59
2006,May,62
2006,Jun,63
2006,Jul,59
2006,Aug,43
2006,Sep,48
2006,Oct,58
2006,Nov,61
2006,Dec,53
2007,Jan,70
2007,Feb,76
2007,Mar,50
2007,Apr,77
2007,May,43
2007,Jun,70
2007,Jul,60
2007,Aug,35
2007,Sep,33
2007,Oct,42
2007,Nov,49
2007,Dec,34
2008,Jan,51
2008,Feb,39
2008,Mar,50
2008,Apr,42
2008,May,45
2008,Jun,44
2008,Jul,32
2008,Aug,32
2008,Sep,58
2008,Oct,73
2008,Nov,53
2008,Dec,41
2009,Jan,49
2009,Feb,51
2009,Mar,58
2009,Apr,46
2009,May,34
2009,Jun,48
2009,Jul,45
2009,Aug,50
2009,Sep,50
2009,Oct,46
2009,Nov,49
2009,Dec,40
2010,Jan,49
2010,Feb,37
2010,Mar,58
2010,Apr,39
2010,May,37
2010,Jun,34
2010,Jul,34
2010,Aug,38
2010,Sep,29
2010,Oct,32
2010,Nov,30
2010,Dec,29
2011,Jan,35
2011,Feb,41
2011,Mar,40
2011,Apr,33
2011,May,27
2011,Jun,27
2011,Jul,28
2011,Aug,28
2011,Sep,32
2011,Oct,28
2011,Nov,25
2011,Dec,26
2012,Jan,35
2012,Feb,30
2012,Mar,23
2012,Apr,28
2012,May,20
2012,Jun,20
2012,Jul,19
2012,Aug,24
2012,Sep,22
2012,Oct,21
2012,Nov,16
2012,Dec,20
2013,Jan,30
2013,Feb,25
2013,Mar,26
2013,Apr,20
2013,May,23
2013,Jun,23
2013,Jul,22
2013,Aug,18
2013,Sep,24
2013,Oct,25
2013,Nov,21
2013,Dec,23
2014,Jan,22
2014,Feb,24
2014,Mar,21
2014,Apr,27
2014,May,22
2014,Jun,23
2014,Jul,26
2014,Aug,19
2014,Sep,14
2014,Oct,24
2014,Nov,16
2014,Dec,18
2015,Jan,15
2015,Feb,15
2015,Mar,21
2015,Apr,16
2015,May,14
2015,Jun,19
2015,Jul,23
2015,Aug,24
2015,Sep,16
2015,Oct,18
2015,Nov,16
2015,Dec,15
2016,Jan,13
2016,Feb,16
2016,Mar,19
2016,Apr,12
2016,May,18
2016,Jun,17
2016,Jul,14
2016,Aug,15
2016,Sep,16
2016,Oct,13
2016,Nov,14
2016,Dec,15
2017,Jan,19
2017,Feb,16
2017,Mar,14
2017,Apr,13
2017,May,18
2017,Jun,12
2017,Jul,17
2017,Aug,11
2017,Sep,12
2017,Oct,16
2017,Nov,14
2017,Dec,13
2018,Jan,16
2018,Feb,17
2018,Mar,18
2018,Apr,20
2018,May,15
2018,Jun,17
2018,Jul,16
2018,Aug,11
2018,Sep,13
2018,Oct,19
2018,Nov,13
2018,Dec,13
2019,Jan,17
2019,Feb,16
2019,Mar,17
2019,Apr,14
2019,May,14
2019,Jun,14
2019,Jul,15
2019,Aug,11
2019,Sep,13
2019,Oct,15
2019,Nov,11
2019,Dec,14
2020,Jan,15
2020,Feb,22
2020,Mar,22
2020,Apr,18
2020,May,16
2020,Jun,18
2020,Jul,19
2020,Aug,24
2020,Sep,18
2020,Oct,22
2020,Nov,18
2020,Dec,16
2021,Jan,26
2021,Feb,20
2021,Mar,20
2021,Apr,19
2021,May,17
2021,Jun,15
2021,Jul,18
2021,Aug,19
2021,Sep,16
2021,Oct,21
2021,Nov,15
2021,Dec,18
2022,Jan,17
2022,Feb,23
2022,Mar,21
