CNAME:,CRAY INC
Google Trends Search Term:,cray
Google Trends Suggestion:,computer company
Google Trends URL:,/m/01ftc9
Year,Month,SVI Data
2004,Jan,80
2004,Feb,57
2004,Mar,91
2004,Apr,87
2004,May,60
2004,Jun,45
2004,Jul,100
2004,Aug,75
2004,Sep,60
2004,Oct,74
2004,Nov,79
2004,Dec,59
2005,Jan,50
2005,Feb,47
2005,Mar,46
2005,Apr,61
2005,May,82
2005,Jun,67
2005,Jul,57
2005,Aug,53
2005,Sep,59
2005,Oct,52
2005,Nov,92
2005,Dec,52
2006,Jan,57
2006,Feb,67
2006,Mar,77
2006,Apr,33
2006,May,47
2006,Jun,54
2006,Jul,67
2006,Aug,60
2006,Sep,53
2006,Oct,34
2006,Nov,45
2006,Dec,43
2007,Jan,53
2007,Feb,47
2007,Mar,40
2007,Apr,27
2007,May,44
2007,Jun,37
2007,Jul,30
2007,Aug,30
2007,Sep,43
2007,Oct,33
2007,Nov,34
2007,Dec,33
2008,Jan,30
2008,Feb,33
2008,Mar,32
2008,Apr,40
2008,May,42
2008,Jun,32
2008,Jul,36
2008,Aug,21
2008,Sep,57
2008,Oct,46
2008,Nov,45
2008,Dec,38
2009,Jan,39
2009,Feb,48
2009,Mar,29
2009,Apr,32
2009,May,32
2009,Jun,36
2009,Jul,37
2009,Aug,42
2009,Sep,34
2009,Oct,38
2009,Nov,36
2009,Dec,24
2010,Jan,32
2010,Feb,33
2010,Mar,33
2010,Apr,35
2010,May,37
2010,Jun,38
2010,Jul,27
2010,Aug,30
2010,Sep,32
2010,Oct,35
2010,Nov,28
2010,Dec,22
2011,Jan,24
2011,Feb,27
2011,Mar,24
2011,Apr,32
2011,May,29
2011,Jun,27
2011,Jul,20
2011,Aug,32
2011,Sep,31
2011,Oct,44
2011,Nov,72
2011,Dec,64
2012,Jan,64
2012,Feb,61
2012,Mar,58
2012,Apr,61
2012,May,47
2012,Jun,51
2012,Jul,39
2012,Aug,45
2012,Sep,43
2012,Oct,48
2012,Nov,48
2012,Dec,44
2013,Jan,44
2013,Feb,44
2013,Mar,42
2013,Apr,39
2013,May,41
2013,Jun,34
2013,Jul,27
2013,Aug,36
2013,Sep,25
2013,Oct,35
2013,Nov,33
2013,Dec,36
2014,Jan,33
2014,Feb,37
2014,Mar,21
2014,Apr,27
2014,May,32
2014,Jun,23
2014,Jul,27
2014,Aug,32
2014,Sep,26
2014,Oct,27
2014,Nov,25
2014,Dec,25
2015,Jan,23
2015,Feb,24
2015,Mar,24
2015,Apr,29
2015,May,23
2015,Jun,25
2015,Jul,27
2015,Aug,25
2015,Sep,26
2015,Oct,29
2015,Nov,26
2015,Dec,22
2016,Jan,19
2016,Feb,27
2016,Mar,23
2016,Apr,21
2016,May,21
2016,Jun,22
2016,Jul,19
2016,Aug,20
2016,Sep,20
2016,Oct,19
2016,Nov,23
2016,Dec,17
2017,Jan,21
2017,Feb,27
2017,Mar,22
2017,Apr,21
2017,May,26
2017,Jun,22
2017,Jul,23
2017,Aug,23
2017,Sep,20
2017,Oct,20
2017,Nov,22
2017,Dec,17
2018,Jan,21
2018,Feb,23
2018,Mar,19
2018,Apr,22
2018,May,20
2018,Jun,17
2018,Jul,16
2018,Aug,17
2018,Sep,17
2018,Oct,18
2018,Nov,21
2018,Dec,16
2019,Jan,14
2019,Feb,18
2019,Mar,19
2019,Apr,18
2019,May,46
2019,Jun,23
2019,Jul,20
2019,Aug,20
2019,Sep,19
2019,Oct,17
2019,Nov,16
2019,Dec,16
2020,Jan,16
2020,Feb,17
2020,Mar,12
2020,Apr,14
2020,May,13
2020,Jun,13
2020,Jul,12
2020,Aug,12
2020,Sep,11
2020,Oct,10
2020,Nov,12
2020,Dec,12
2021,Jan,9
2021,Feb,9
2021,Mar,11
2021,Apr,9
2021,May,10
2021,Jun,8
2021,Jul,12
2021,Aug,10
2021,Sep,11
2021,Oct,11
2021,Nov,10
2021,Dec,10
2022,Jan,11
2022,Feb,13
2022,Mar,9
