CNAME:,CITIGROUP INC
Google Trends Search Term:,citigroup
Google Trends Suggestion:,investment banking company
Google Trends URL:,/m/01dfb6
Year,Month,SVI Data
2004,Jan,47
2004,Feb,44
2004,Mar,42
2004,Apr,47
2004,May,46
2004,Jun,52
2004,Jul,55
2004,Aug,60
2004,Sep,57
2004,Oct,55
2004,Nov,50
2004,Dec,52
2005,Jan,54
2005,Feb,51
2005,Mar,49
2005,Apr,50
2005,May,50
2005,Jun,59
2005,Jul,55
2005,Aug,58
2005,Sep,53
2005,Oct,51
2005,Nov,51
2005,Dec,55
2006,Jan,62
2006,Feb,54
2006,Mar,65
2006,Apr,65
2006,May,69
2006,Jun,73
2006,Jul,81
2006,Aug,80
2006,Sep,73
2006,Oct,70
2006,Nov,69
2006,Dec,75
2007,Jan,78
2007,Feb,73
2007,Mar,75
2007,Apr,74
2007,May,74
2007,Jun,78
2007,Jul,81
2007,Aug,84
2007,Sep,78
2007,Oct,78
2007,Nov,85
2007,Dec,80
2008,Jan,84
2008,Feb,77
2008,Mar,80
2008,Apr,81
2008,May,80
2008,Jun,79
2008,Jul,83
2008,Aug,81
2008,Sep,87
2008,Oct,83
2008,Nov,94
2008,Dec,84
2009,Jan,87
2009,Feb,87
2009,Mar,100
2009,Apr,85
2009,May,80
2009,Jun,81
2009,Jul,89
2009,Aug,87
2009,Sep,78
2009,Oct,76
2009,Nov,77
2009,Dec,78
2010,Jan,78
2010,Feb,76
2010,Mar,77
2010,Apr,77
2010,May,74
2010,Jun,84
2010,Jul,78
2010,Aug,77
2010,Sep,75
2010,Oct,75
2010,Nov,71
2010,Dec,73
2011,Jan,79
2011,Feb,81
2011,Mar,79
2011,Apr,83
2011,May,80
2011,Jun,86
2011,Jul,84
2011,Aug,85
2011,Sep,83
2011,Oct,84
2011,Nov,78
2011,Dec,81
2012,Jan,82
2012,Feb,81
2012,Mar,78
2012,Apr,76
2012,May,75
2012,Jun,77
2012,Jul,79
2012,Aug,78
2012,Sep,74
2012,Oct,77
2012,Nov,77
2012,Dec,82
2013,Jan,80
2013,Feb,78
2013,Mar,77
2013,Apr,75
2013,May,74
2013,Jun,74
2013,Jul,78
2013,Aug,79
2013,Sep,73
2013,Oct,73
2013,Nov,75
2013,Dec,80
2014,Jan,79
2014,Feb,77
2014,Mar,79
2014,Apr,74
2014,May,76
2014,Jun,80
2014,Jul,80
2014,Aug,78
2014,Sep,79
2014,Oct,76
2014,Nov,76
2014,Dec,76
2015,Jan,73
2015,Feb,70
2015,Mar,70
2015,Apr,74
2015,May,72
2015,Jun,75
2015,Jul,75
2015,Aug,74
2015,Sep,70
2015,Oct,71
2015,Nov,68
2015,Dec,67
2016,Jan,63
2016,Feb,64
2016,Mar,62
2016,Apr,64
2016,May,65
2016,Jun,79
2016,Jul,80
2016,Aug,76
2016,Sep,74
2016,Oct,71
2016,Nov,74
2016,Dec,71
2017,Jan,70
2017,Feb,68
2017,Mar,69
2017,Apr,69
2017,May,67
2017,Jun,71
2017,Jul,71
2017,Aug,70
2017,Sep,66
2017,Oct,65
2017,Nov,62
2017,Dec,64
2018,Jan,63
2018,Feb,61
2018,Mar,65
2018,Apr,59
2018,May,57
2018,Jun,61
2018,Jul,58
2018,Aug,59
2018,Sep,59
2018,Oct,56
2018,Nov,55
2018,Dec,54
2019,Jan,55
2019,Feb,55
2019,Mar,55
2019,Apr,59
2019,May,58
2019,Jun,61
2019,Jul,59
2019,Aug,59
2019,Sep,55
2019,Oct,54
2019,Nov,54
2019,Dec,53
2020,Jan,53
2020,Feb,54
2020,Mar,53
2020,Apr,55
2020,May,48
2020,Jun,52
2020,Jul,52
2020,Aug,50
2020,Sep,44
2020,Oct,46
2020,Nov,42
2020,Dec,44
2021,Jan,43
2021,Feb,42
2021,Mar,43
2021,Apr,42
2021,May,42
2021,Jun,42
2021,Jul,43
2021,Aug,41
2021,Sep,41
2021,Oct,42
2021,Nov,47
2021,Dec,48
2022,Jan,44
2022,Feb,45
2022,Mar,46
