CNAME:,VISTAPRINT LTD
Google Trends Search Term:,vistaprint
Google Trends Suggestion:,e-commerce company
Google Trends URL:,/g/121b73kq
Year,Month,SVI Data
2004,Jan,9
2004,Feb,5
2004,Mar,12
2004,Apr,9
2004,May,8
2004,Jun,7
2004,Jul,3
2004,Aug,8
2004,Sep,6
2004,Oct,4
2004,Nov,9
2004,Dec,6
2005,Jan,4
2005,Feb,7
2005,Mar,6
2005,Apr,4
2005,May,6
2005,Jun,7
2005,Jul,8
2005,Aug,7
2005,Sep,7
2005,Oct,7
2005,Nov,6
2005,Dec,8
2006,Jan,2
2006,Feb,5
2006,Mar,5
2006,Apr,11
2006,May,6
2006,Jun,6
2006,Jul,8
2006,Aug,10
2006,Sep,13
2006,Oct,11
2006,Nov,11
2006,Dec,13
2007,Jan,10
2007,Feb,12
2007,Mar,8
2007,Apr,11
2007,May,10
2007,Jun,13
2007,Jul,13
2007,Aug,11
2007,Sep,14
2007,Oct,13
2007,Nov,17
2007,Dec,17
2008,Jan,14
2008,Feb,25
2008,Mar,35
2008,Apr,34
2008,May,36
2008,Jun,39
2008,Jul,30
2008,Aug,37
2008,Sep,34
2008,Oct,29
2008,Nov,32
2008,Dec,30
2009,Jan,24
2009,Feb,19
2009,Mar,17
2009,Apr,18
2009,May,25
2009,Jun,20
2009,Jul,19
2009,Aug,21
2009,Sep,20
2009,Oct,23
2009,Nov,35
2009,Dec,28
2010,Jan,27
2010,Feb,26
2010,Mar,29
2010,Apr,28
2010,May,26
2010,Jun,27
2010,Jul,28
2010,Aug,27
2010,Sep,28
2010,Oct,27
2010,Nov,35
2010,Dec,32
2011,Jan,37
2011,Feb,37
2011,Mar,38
2011,Apr,38
2011,May,44
2011,Jun,41
2011,Jul,38
2011,Aug,42
2011,Sep,44
2011,Oct,44
2011,Nov,56
2011,Dec,51
2012,Jan,46
2012,Feb,51
2012,Mar,50
2012,Apr,49
2012,May,51
2012,Jun,52
2012,Jul,56
2012,Aug,54
2012,Sep,48
2012,Oct,55
2012,Nov,69
2012,Dec,59
2013,Jan,58
2013,Feb,52
2013,Mar,55
2013,Apr,60
2013,May,53
2013,Jun,56
2013,Jul,59
2013,Aug,59
2013,Sep,65
2013,Oct,83
2013,Nov,95
2013,Dec,100
2014,Jan,81
2014,Feb,63
2014,Mar,78
2014,Apr,73
2014,May,62
2014,Jun,73
2014,Jul,74
2014,Aug,72
2014,Sep,80
2014,Oct,74
2014,Nov,85
2014,Dec,80
2015,Jan,68
2015,Feb,72
2015,Mar,69
2015,Apr,72
2015,May,62
2015,Jun,64
2015,Jul,67
2015,Aug,69
2015,Sep,67
2015,Oct,65
2015,Nov,70
2015,Dec,69
2016,Jan,54
2016,Feb,65
2016,Mar,68
2016,Apr,74
2016,May,67
2016,Jun,68
2016,Jul,61
2016,Aug,67
2016,Sep,63
2016,Oct,52
2016,Nov,62
2016,Dec,59
2017,Jan,59
2017,Feb,61
2017,Mar,73
2017,Apr,83
2017,May,72
2017,Jun,63
2017,Jul,59
2017,Aug,67
2017,Sep,62
2017,Oct,60
2017,Nov,61
2017,Dec,50
2018,Jan,54
2018,Feb,62
2018,Mar,66
2018,Apr,69
2018,May,59
2018,Jun,57
2018,Jul,52
2018,Aug,50
2018,Sep,48
2018,Oct,52
2018,Nov,48
2018,Dec,42
2019,Jan,46
2019,Feb,42
2019,Mar,52
2019,Apr,52
2019,May,57
2019,Jun,49
2019,Jul,49
2019,Aug,52
2019,Sep,50
2019,Oct,49
2019,Nov,48
2019,Dec,43
2020,Jan,43
2020,Feb,43
2020,Mar,28
2020,Apr,23
2020,May,34
2020,Jun,35
2020,Jul,30
2020,Aug,36
2020,Sep,28
2020,Oct,25
2020,Nov,30
2020,Dec,25
2021,Jan,24
2021,Feb,26
2021,Mar,26
2021,Apr,28
2021,May,27
2021,Jun,28
2021,Jul,26
2021,Aug,28
2021,Sep,25
2021,Oct,26
2021,Nov,29
2021,Dec,23
2022,Jan,24
2022,Feb,26
2022,Mar,33
