CNAME:,SOHU COM INC
Google Trends Search Term:,sohu
Google Trends Suggestion:,internet services company
Google Trends URL:,/m/05mkjv
Year,Month,SVI Data
2004,Jan,42
2004,Feb,46
2004,Mar,61
2004,Apr,42
2004,May,49
2004,Jun,51
2004,Jul,56
2004,Aug,63
2004,Sep,54
2004,Oct,64
2004,Nov,56
2004,Dec,60
2005,Jan,52
2005,Feb,53
2005,Mar,63
2005,Apr,45
2005,May,40
2005,Jun,38
2005,Jul,52
2005,Aug,46
2005,Sep,51
2005,Oct,44
2005,Nov,43
2005,Dec,48
2006,Jan,38
2006,Feb,47
2006,Mar,39
2006,Apr,44
2006,May,48
2006,Jun,45
2006,Jul,47
2006,Aug,56
2006,Sep,49
2006,Oct,41
2006,Nov,47
2006,Dec,64
2007,Jan,51
2007,Feb,43
2007,Mar,40
2007,Apr,50
2007,May,52
2007,Jun,52
2007,Jul,53
2007,Aug,56
2007,Sep,58
2007,Oct,53
2007,Nov,63
2007,Dec,55
2008,Jan,47
2008,Feb,55
2008,Mar,49
2008,Apr,51
2008,May,69
2008,Jun,66
2008,Jul,55
2008,Aug,81
2008,Sep,53
2008,Oct,49
2008,Nov,49
2008,Dec,50
2009,Jan,55
2009,Feb,52
2009,Mar,54
2009,Apr,55
2009,May,57
2009,Jun,53
2009,Jul,51
2009,Aug,54
2009,Sep,51
2009,Oct,51
2009,Nov,48
2009,Dec,51
2010,Jan,52
2010,Feb,53
2010,Mar,48
2010,Apr,50
2010,May,50
2010,Jun,56
2010,Jul,47
2010,Aug,49
2010,Sep,49
2010,Oct,54
2010,Nov,54
2010,Dec,56
2011,Jan,53
2011,Feb,57
2011,Mar,63
2011,Apr,64
2011,May,64
2011,Jun,78
2011,Jul,71
2011,Aug,72
2011,Sep,72
2011,Oct,70
2011,Nov,68
2011,Dec,68
2012,Jan,80
2012,Feb,77
2012,Mar,83
2012,Apr,85
2012,May,89
2012,Jun,83
2012,Jul,99
2012,Aug,100
2012,Sep,94
2012,Oct,89
2012,Nov,90
2012,Dec,91
2013,Jan,79
2013,Feb,76
2013,Mar,75
2013,Apr,84
2013,May,77
2013,Jun,75
2013,Jul,82
2013,Aug,81
2013,Sep,87
2013,Oct,83
2013,Nov,86
2013,Dec,82
2014,Jan,78
2014,Feb,84
2014,Mar,100
2014,Apr,85
2014,May,79
2014,Jun,70
2014,Jul,80
2014,Aug,71
2014,Sep,76
2014,Oct,76
2014,Nov,76
2014,Dec,75
2015,Jan,68
2015,Feb,57
2015,Mar,63
2015,Apr,63
2015,May,63
2015,Jun,53
2015,Jul,56
2015,Aug,51
2015,Sep,49
2015,Oct,49
2015,Nov,45
2015,Dec,40
2016,Jan,33
2016,Feb,27
2016,Mar,27
2016,Apr,28
2016,May,28
2016,Jun,26
2016,Jul,26
2016,Aug,32
2016,Sep,27
2016,Oct,25
2016,Nov,24
2016,Dec,24
2017,Jan,23
2017,Feb,21
2017,Mar,20
2017,Apr,21
2017,May,21
2017,Jun,22
2017,Jul,21
2017,Aug,19
2017,Sep,16
2017,Oct,19
2017,Nov,16
2017,Dec,18
2018,Jan,18
2018,Feb,18
2018,Mar,18
2018,Apr,18
2018,May,16
2018,Jun,18
2018,Jul,16
2018,Aug,16
2018,Sep,17
2018,Oct,17
2018,Nov,16
2018,Dec,19
2019,Jan,18
2019,Feb,14
2019,Mar,13
2019,Apr,16
2019,May,17
2019,Jun,17
2019,Jul,16
2019,Aug,16
2019,Sep,15
2019,Oct,13
2019,Nov,13
2019,Dec,14
2020,Jan,15
2020,Feb,18
2020,Mar,17
2020,Apr,13
2020,May,14
2020,Jun,13
2020,Jul,15
2020,Aug,14
2020,Sep,12
2020,Oct,14
2020,Nov,13
2020,Dec,12
2021,Jan,12
2021,Feb,13
2021,Mar,11
2021,Apr,13
2021,May,14
2021,Jun,14
2021,Jul,18
2021,Aug,17
2021,Sep,15
2021,Oct,15
2021,Nov,15
2021,Dec,17
2022,Jan,15
2022,Feb,18
2022,Mar,19
