CNAME:,CUMULUS MEDIA INC
Google Trends Search Term:,cumulus media
Google Trends Suggestion:,broadcasting company
Google Trends URL:,/m/04qhdf
Year,Month,SVI Data
2004,Jan,30
2004,Feb,22
2004,Mar,23
2004,Apr,24
2004,May,10
2004,Jun,26
2004,Jul,17
2004,Aug,19
2004,Sep,21
2004,Oct,26
2004,Nov,11
2004,Dec,13
2005,Jan,31
2005,Feb,32
2005,Mar,22
2005,Apr,30
2005,May,16
2005,Jun,21
2005,Jul,26
2005,Aug,15
2005,Sep,19
2005,Oct,27
2005,Nov,22
2005,Dec,11
2006,Jan,27
2006,Feb,17
2006,Mar,18
2006,Apr,21
2006,May,28
2006,Jun,29
2006,Jul,25
2006,Aug,15
2006,Sep,13
2006,Oct,21
2006,Nov,26
2006,Dec,13
2007,Jan,29
2007,Feb,16
2007,Mar,21
2007,Apr,24
2007,May,21
2007,Jun,19
2007,Jul,21
2007,Aug,22
2007,Sep,20
2007,Oct,24
2007,Nov,20
2007,Dec,30
2008,Jan,74
2008,Feb,67
2008,Mar,57
2008,Apr,70
2008,May,71
2008,Jun,84
2008,Jul,84
2008,Aug,98
2008,Sep,100
2008,Oct,91
2008,Nov,78
2008,Dec,70
2009,Jan,80
2009,Feb,66
2009,Mar,55
2009,Apr,43
2009,May,33
2009,Jun,46
2009,Jul,35
2009,Aug,39
2009,Sep,36
2009,Oct,38
2009,Nov,19
2009,Dec,17
2010,Jan,20
2010,Feb,19
2010,Mar,20
2010,Apr,21
2010,May,23
2010,Jun,22
2010,Jul,17
2010,Aug,18
2010,Sep,17
2010,Oct,18
2010,Nov,14
2010,Dec,14
2011,Jan,16
2011,Feb,23
2011,Mar,22
2011,Apr,25
2011,May,19
2011,Jun,20
2011,Jul,17
2011,Aug,21
2011,Sep,25
2011,Oct,26
2011,Nov,22
2011,Dec,23
2012,Jan,25
2012,Feb,26
2012,Mar,30
2012,Apr,32
2012,May,26
2012,Jun,24
2012,Jul,26
2012,Aug,31
2012,Sep,25
2012,Oct,50
2012,Nov,29
2012,Dec,20
2013,Jan,25
2013,Feb,19
2013,Mar,23
2013,Apr,23
2013,May,21
2013,Jun,20
2013,Jul,30
2013,Aug,27
2013,Sep,27
2013,Oct,22
2013,Nov,18
2013,Dec,17
2014,Jan,24
2014,Feb,19
2014,Mar,17
2014,Apr,21
2014,May,20
2014,Jun,20
2014,Jul,19
2014,Aug,18
2014,Sep,15
2014,Oct,14
2014,Nov,11
2014,Dec,13
2015,Jan,16
2015,Feb,14
2015,Mar,20
2015,Apr,16
2015,May,14
2015,Jun,16
2015,Jul,19
2015,Aug,16
2015,Sep,21
2015,Oct,19
2015,Nov,17
2015,Dec,17
2016,Jan,18
2016,Feb,17
2016,Mar,15
2016,Apr,14
2016,May,16
2016,Jun,13
2016,Jul,12
2016,Aug,13
2016,Sep,11
2016,Oct,10
2016,Nov,9
2016,Dec,10
2017,Jan,11
2017,Feb,12
2017,Mar,13
2017,Apr,12
2017,May,11
2017,Jun,13
2017,Jul,10
2017,Aug,13
2017,Sep,10
2017,Oct,12
2017,Nov,15
2017,Dec,14
2018,Jan,13
2018,Feb,14
2018,Mar,12
2018,Apr,10
2018,May,12
2018,Jun,11
2018,Jul,10
2018,Aug,10
2018,Sep,10
2018,Oct,8
2018,Nov,8
2018,Dec,8
2019,Jan,12
2019,Feb,10
2019,Mar,10
2019,Apr,8
2019,May,10
2019,Jun,8
2019,Jul,13
2019,Aug,10
2019,Sep,10
2019,Oct,8
2019,Nov,7
2019,Dec,7
2020,Jan,9
2020,Feb,9
2020,Mar,7
2020,Apr,7
2020,May,6
2020,Jun,7
2020,Jul,6
2020,Aug,5
2020,Sep,6
2020,Oct,6
2020,Nov,5
2020,Dec,4
2021,Jan,19
2021,Feb,7
2021,Mar,6
2021,Apr,5
2021,May,8
2021,Jun,6
2021,Jul,4
2021,Aug,6
2021,Sep,5
2021,Oct,9
2021,Nov,7
2021,Dec,5
2022,Jan,5
2022,Feb,5
2022,Mar,5
